"Name"	"Set"	"ImageFile"	"Rarity"	"Unique"	"CollectorsInfo"	"Type"	"Cost"	"Mission"	"DilemmaType"	"Span"	"Points"	"Quadrant"	"Affiliation"	"Icons"	"Staff"	"Keywords"	"Class"	"Species"	"Skills"	"Integrity"	"Range"	"Cunning"	"Weapons"	"Strength"	"Shields"	"gametext"	"HoF"
"Back Room Dealings *VP"	"VP"	"STVP-EN126"	"VP"	"N"	"0VP126"	"Dilemma"	"2"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Choose a personnel who has Treachery or Integrity<4 to be stopped. If you cannot, randomly select a personnel to be killed."	"Y"
"The Caretaker's ""Guests"""	"Ge"	"ST2E-EN11006R"	"P"	"N"	"11P006"	"Dilemma"	"2"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Your opponent chooses a personnel. You may replace him or her with any one personnel of the same affiliation from your discard pile. Place the personnel your opponent chose on the top of his or her owner's deck."	"Y"
"Insurrection"	"TITW"	"STVE-EN24006"	"V"	"N"	"24V006"	"Dilemma"	"0"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"This dilemma is cost +1. Place this dilemma on this mission (limit one per mission). If this mission is worth 30 or more points, add 10 to each printed attribute requirement<32 needed to complete this mission. When this mission is completed, place this dilemma beneath your incomplete non-headquarters mission."	"N"
"Security Lockout"	"Ph"	"STVE-EN63006"	"V"	"N"	"63V006"	"Dilemma"	"2"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select three personnel. Each of those personnel that does not have Programming or Security is stopped."	"Y"
"The Alien's Graveyard"	"RoF"	"STVE-EN65006"	"V"	"N"	"65V006"	"Dilemma"	"6"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"For each of your personnel who costs 2 or less attempting this mission, this dilemma is cost -1. Randomly select three personnel. Each of those personnel who has a cost of 2 or less is killed. If no personnel were killed by this dilemma, your opponent chooses one of the selected personnel to be placed in your opponent's brig."	"Y"
"Assassination Attempt (AC)"	"AC"	"ST2E-EN01007ac"	"R"	"N"	"1R007"	"Dilemma"	"4"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select two personnel. Each of those personnel who does not have Treachery is killed."	"Y"
"Pitching In"	"PP"	"STVE-EN22008"	"V"	"N"	"22V008"	"Dilemma"	"4"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"If you have four or more personnel who have a cost of 2 or less attempting this mission, this dilemma is cost -3. Choose a Leadership or Security personnel to be stopped. Then choose an Engineer or Programming personnel to be stopped."	"N"
"Silent Witness"	"HT"	"STVE-EN38009"	"V"	"N"	"38V009"	"Dilemma"	"4"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select two personnel. Each of those personnel who does not have Leadership is killed."	"Y"
"Weight of Command"	"ZH"	"STVE-EN40009"	"V"	"N"	"40V009"	"Dilemma"	"3"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select three personnel. Each Officer personnel selected is stopped. Then place each unstopped [Rom] selected at your headquarters mission."	"Y"
"Old Differences"	"WYLB"	"WYLB010"	"C"	"N"	"14C010"	"Dilemma"	"4"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"When you reveal this dilemma from the dilemma stack, if this mission is worth 35 or less points, it is cost -1. Randomly select two personnel to be stopped."	"Y"
"The Oracle's Punishment"	"TITW"	"STVE-EN24011"	"V"	"N"	"24V011"	"Dilemma"	"5"	"D"	"D"	""	""	""	""	""	""	"Consume: 1."	""	""	""	""	""	""	""	""	""	"Your opponent chooses two personnel to be stopped. When this dilemma is overcome, if it was prevented, your opponent may choose one of your personnel involved in the mission attempt to be killed."	"Y"
"Necessary Execution *VP"	"VP"	"STVP-EN114"	"VP"	"N"	"0VP114"	"Dilemma"	"5"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Your opponent chooses a personnel to be killed. If you do not command a completed space mission, he or she chooses an additional personnel to be killed."	"N"
"The Killing Game"	"Ctkr"	"STVE-EN56012"	"V"	"N"	"56V012"	"Dilemma"	"8"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"For each event your opponent commands in their core, this dilemma is cost -1 (-2 for each Decay event). Unless you have 2 Engineer, 2 Medical, and Cunning>38 or 2 Diplomacy, Leadership, and 2 Physics, randomly select two personnel to be placed in your opponent's brig."	"Y"
"Guess Who's Coming to Dinner? *VP"	"VP"	"STVP-EN197"	"VP"	"N"	"0VP197"	"Dilemma"	"2"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Choose a personnel who has Diplomacy or Integrity>6 to be stopped. If you cannot, randomly select a personnel to be killed."	"Y"
"Sylvia"	"WYLB"	"WYLB016"	"R"	"N"	"14R016"	"Dilemma"	"8"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"For each event your opponent commands in his or her core, this dilemma is cost -1 (-2 for each Decay event). Unless you have 2 Leadership, Officer, Security, and Cunning>38 or 2 Engineer, Programming, and 2 Science, randomly select two personnel to be placed in your opponent's brig."	"Y"
"Tsiolkovsky Infection *VP"	"VP"	"STVP-EN129"	"VP"	"N"	"0VP129"	"Dilemma"	"8"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Anthropology, 2 Programming, and Cunning>38 or 2 Biology, Exobiology, and 2 Medical, randomly select three personnel to be killed."	"N"
"An Issue of Trust *VP"	"VP"	"STVP-EN111ab"	"VP"	"N"	"0VP111"	"Dilemma"	"4"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have Honor or Treachery, all your personnel are stopped. If you have two or more personnel who have Honor or Treachery, randomly select all but one of those personnel to be stopped."	"N"
"Whisper in the Dark *VP"	"VP"	"STVP-EN130"	"VP"	"N"	"0VP130"	"Dilemma"	"8"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Geology, 2 Physics, and Cunning>38 or 2 Honor, 2 Officer, and Transporters, randomly select three personnel to be killed."	"N"
"In Development *VP"	"VP"	"STVP-EN405"	"VP"	"N"	"0VP405"	"Dilemma"	"6"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"For each headquarters mission you command, this dilemma is cost -1. Randomly select a personnel who has a cost of 2 or less. All your other personnel who have a cost of 2 or less are stopped."	"N"
