Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission	DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity	Range	Cunning	Weapons	Strength	Shields	gametext	HoF
"Jadzia Dax Problem Solver"	"NE"	"ST2E-EN04139"	"R"	"Y"	"4R139"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][DS9]"	""	"Host."	""	"Trill"	"Astrometrics Physics Programming Science"	"6"	"6"	"7"	"7"	"6"	"6"	"When you are about to place an event in your discard pile, you may stop this personnel to place it on the bottom of your deck instead."	"Y"
"Miles O'Brien Repair Chief"	"NE"	"ST2E-EN04144"	"U"	"Y"	"4U144"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][DS9]"	""	""	""	"Human"	"2 Engineer Honor Programming Transporters"	"7"	"7"	"6"	"6"	"5"	"5"	"When your event is about to be destroyed by an opponent, you may discard an event from hand to prevent that."	"Y"
"Benjamin Sisko Man of Resolve"	"En"	"ST2E-EN02118"	"U"	"Y"	"2U118"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][DS9]"	""	""	""	"Human"	"Diplomacy Engineer Leadership Officer Security"	"4"	"4"	"6"	"6"	"6"	"6"	"Order - This personnel loses Diplomacy and gains Treachery until the end of this turn. You may do this only once each turn."	"Y"
"Julian Bashir ""Unnatural Freak"""	"En"	"ST2E-EN02124"	"U"	"Y"	"2U124"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][DS9]"	""	"Genetically Enhanced."	""	"Human"	"Biology Exobiology 3 Medical"	"4"	"4"	"8"	"8"	"6"	"6"	"While this personnel is attempting a mission, you may remove two cards in your discard pile from the game to make him gain Treachery until the end of this turn. You may do this only once each turn."	"Y"
"Worf Strategic Operations Officer"	"SE"	"ST2E-EN01291"	"S"	"Y"	"1S291"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][DS9]"	""	""	""	"Klingon"	"Diplomacy 2 Honor Leadership Officer"	"8"	"8"	"5"	"5"	"8"	"8"	"When an engagement involving your [Fed] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement."	"Y"
"Seven of Nine Reclaimed Drone"	"CL"	"st2e-en10081"	"C"	"Y"	"10C081"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Borg"	"Astrometrics Engineer Exobiology Physics Programming"	"5"	"5"	"6"	"6"	"6"	"6"	""	"Y"
"Kathryn Janeway Forceful Captain"	"CL"	"st2e-en10070"	"R"	"Y"	"10R070"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][Voy]"	""	"Commander: U.S.S. Voyager."	""	"Human"	"Diplomacy Engineer Leadership Officer Science"	"6"	"6"	"6"	"6"	"5"	"5"	"While this personnel is facing a dilemma at a [DQ] mission, she is attributes +4."	"Y"
"Chakotay Bridge Between Two Crews"	"CL"	"st2e-en10065"	"U"	"Y"	"10U065"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][Voy]"	""	""	""	"Human"	"Anthropology Diplomacy Honor Security"	"6"	"6"	"5"	"5"	"6"	"6"	"When your [Fed] personnel present is about to be stopped by a dilemma, you may destroy an event in your core to prevent that."	"Y"
"B'Elanna Torres Straightforward Engineer"	"CL"	"st2e-en10061"	"U"	"Y"	"10U061"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][Voy]"	""	""	""	"Human/Klingon"	"2 Engineer Physics Programming Science Treachery"	"5"	"5"	"6"	"6"	"7"	"7"	"Order - If this personnel is aboard your ship, discard a card from hand to remove a Damage card from that ship. You may do this only once each turn."	"Y"
"The Doctor Emergency Medical Hologram"	"CL"	"st2e-en10083"	"R"	"Y"	"10R083"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Voy]"	""	""	""	"Hologram"	"Biology Exobiology 2 Medical Science"	"6"	"6"	"7"	"7"	"5"	"5"	"When your [Voy] personnel present is about to be killed by a dilemma that costs 3 or more, you may discard two cards from hand to stop that personnel instead."	"Y"
"Chakotay Freedom Fighter"	"En"	"ST2E-EN02120"	"R"	"Y"	"2R120"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][Maq]"	""	"Commander: Valjean."	""	"Human"	"Anthropology Archaeology Leadership Navigation Treachery"	"4"	"4"	"6"	"6"	"6"	"6"	"While this personnel is facing a dilemma, each of your other [Maq] personnel present is attributes +1."	"Y"
"Cal Hudson Attache to the Demilitarized Zone"	"En"	"ST2E-EN02119"	"U"	"Y"	"2U119"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][Maq]"	""	""	""	"Human"	"Diplomacy Leadership Navigation Officer Treachery"	"4"	"4"	"6"	"6"	"6"	"6"	"When you play this personnel, you may download a [Maq] ship."	"Y"
"Thomas Riker Defiant Leader"	"En"	"ST2E-EN02131"	"R"	"Y"	"2R131"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][Maq]"	""	"Commander: U.S.S. Defiant."	""	"Human"	"Geology Leadership Officer Security Treachery"	"4"	"4"	"6"	"6"	"6"	"6"	"While this personnel is aboard your [Fed] ship, it is Range +2."	"Y"
"B'Elanna Torres Creative Engineer"	"CA"	"ST2E-EN03174"	"R"	"Y"	"3R174"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][Maq]"	""	""	""	"Human/Klingon"	"Astrometrics Engineer 2 Programming"	"5"	"5"	"6"	"6"	"6"	"6"	"When an opponent is about to discard a card from hand, you may place a card from your hand on top of your deck to randomly select that opponent's card from all eligible cards."	"Y"
