"Name"	"Set"	"ImageFile"	"Rarity"	"Unique"	"CollectorsInfo"	"Type"	"Cost"	"Mission"	"DilemmaType"	"Span"	"Points"	"Quadrant"	"Affiliation"	"Icons"	"Staff"	"Keywords"	"Class"	"Species"	"Skills"	"Integrity"	"Range"	"Cunning"	"Weapons"	"Strength"	"Shields"	"gametext"	"HoF"
"Julian Bashir Nostalgic Doctor"	"RtG"	"STVE-EN30047"	"V"	"Y"	"30V047"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Stf][DS9][Fut]"	""	"Genetically Enhanced."	""	"Human"	"Biology 3 Medical Science"	"6"	"6"	"8"	"8"	"4"	"4"	"When your [Fut] personnel present is about to be killed by a dilemma, you may stop that personnel and discard a non-[Fut] personnel from hand to prevent that."	"Y"
"Telek R'Mor Anachronistic Visitor"	"MoT"	"STVE-EN28048ab"	"V"	"Y"	"28V048"	"Personnel"	"4"	""	""	""	""	""	"Romulan"	"[Cmd][Pa]"	""	""	""	"Romulan"	"Astrometrics Diplomacy Engineer Science Transporters"	"6"	"6"	"5"	"5"	"6"	"6"	"You may play this personnel aboard your non-[Bor][Voy] ship. When this personnel uses a skill to complete a [DQ] mission, you may place him in his owner s discard pile to score 5 points."	"Y"
"Jean-Luc Picard Vintner *VP"	"VP"	"STVP-EN081"	"VP"	"Y"	"0VP081"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][TNG][Fut]"	""	""	""	"Human"	"Archaeology Biology Diplomacy Science"	"6"	"6"	"5"	"5"	"3"	"3"	"When you play this personnel, if each of your non-headquarters missions requires Biology, you may download up to three [TNG] personnel."	"Y"
"Tessa Omond Temporal Conspirator"	"Ctkr"	"STVE-EN56051"	"V"	"Y"	"56V051"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][E][Fut]"	""	"Thief."	""	"Human"	"Archaeology Exobiology Navigation Programming Transporters Treachery"	"5"	"5"	"6"	"6"	"5"	"5"	"When you play this personnel, she is cost -1 for each different Temporal event you command."	"Y"
"William T. Riker Wistful Admiral"	"R2"	"ST2E-EN06053"	"P"	"Y"	"6P053"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][TNG][Fut]"	""	"Admiral. Commander: U.S.S. Enterprise-D."	""	"Human"	"Leadership Navigation Officer Security"	"5"	"5"	"6"	"6"	"5"	"5"	"While this personnel is attempting a space mission, he is attributes +1 and gains Diplomacy and Law."	"Y"
"Kathryn Janeway Regretful Leader"	"RTS"	"STVE-EN17062"	"V"	"Y"	"17V062"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][Voy][Fut]"	""	"Admiral."	""	"Human"	"Biology Diplomacy Engineer Leadership Officer Physics Programming Science"	"5"	"5"	"6"	"6"	"4"	"4"	"When you play this personnel, if you have completed a mission requiring Engineer or Science, she is cost -4. When you play this personnel, each player may download an equipment card or a Temporal card."	"Y"
"Revised Doctor Mass Murderer"	"IMD"	"st2e-en13073"	"U"	"Y"	"13U073"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Voy][Fut]"	""	""	""	"Hologram"	"Biology Exobiology Medical Science 2 Treachery"	"1"	"1"	"8"	"8"	"4"	"4"	"Order - Discard a card titled {The Doctor} or Revised Doctor from hand to download an interrupt."	"Y"
"Revised Neelix Hedgehog Ops Officer"	"IMD"	"st2e-en13076"	"U"	"Y"	"13U076"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Voy][Fut]"	""	""	""	"Hologram"	"Astrometrics Biology Physics Programming Science Transporters 2 Treachery"	"2"	"2"	"6"	"6"	"4"	"4"	"While this personnel is facing a dilemma, you may discard a card titled {Neelix} or Revised Neelix from hand to make each of your Treachery personnel present attributes +1 until the end of this dilemma."	"Y"
"Data Lucasian Chair"	"WYLB"	"WYLB078"	"R"	"Y"	"14R078"	"Personnel"	"5"	""	""	""	""	""	"Federation"	"[Stf][TNG][Fut]"	""	""	""	"Android"	"2 Astrometrics Engineer Exobiology Physics Programming 2 Science"	"6"	"6"	"10"	"10"	"10"	"10"	"When you play this personnel, if you have completed a mission requiring Diplomacy or Leadership, he is cost -4."	"Y"
"Geordi La Forge Retired Engineer"	"WYLB"	"WYLB080"	"C"	"Y"	"14C080"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][TNG][Fut]"	""	""	""	"Human"	"Anthropology Biology Engineer Honor Physics"	"6"	"6"	"6"	"6"	"4"	"4"	"While this personnel is facing a Damage dilemma, you may lose 5 points to prevent and overcome that dilemma."	"Y"
"Jake Sisko Temporal Anchor (R2)"	"R2"	"ST2E-EN02122ab"	"R"	"Y"	"2R122"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[E][Fut]"	""	""	""	"Human"	"Anthropology Astrometrics Biology Physics Programming Science"	"7"	"7"	"7"	"7"	"3"	"3"	"Order - Place this personnel in his owner's discard pile to download a [Fed][DS9] personnel."	"Y"
"Data Lucasian Chair *VP"	"VP"	"STVP-EN147"	"VP"	"Y"	"0VP147"	"Personnel"	"5"	""	""	""	""	""	"Federation"	"[Stf][TNG][Fut]"	""	""	""	"Android"	"2 Astrometrics Engineer Exobiology Physics Programming 2 Science"	"6"	"6"	"10"	"10"	"10"	"10"	"When you play this personnel, if you have completed a mission requiring Diplomacy or Leadership, he is cost -4."	"Y"
