CollectorsInfo	gametext
1C054	Unless you have <b>a personnel who has 2 Diplomacy</b> or <b>a personnel who has 2 Leadership</b>, your opponent chooses an Diplomacy or Leadership personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C056	Randomly select a personnel who has Leadership or Security. If that personnel has <b>Cunning<7</b>, he or she is killed.
1C057	Choose a personnel who has <b>Biology</b> or <b>Medical</b> to be stopped. If you cannot, randomly select a personnel to be killed.
1C060	Unless you have <b>a personnel who has 2 Astrometrics</b> or <b>a personnel who has 2 Navigation</b>, your opponent chooses an Astrometrics or Navigation personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1R002	Unless you have <b>2 Anthropology</b> or <b>2 Leadership and Weapons>8</b>, randomly select a personnel to be killed, all your other personnel are stopped, and this dilemma is placed on your ship. Damage - This ship is attributes -2.
1R005	Randomly select four personnel. Unless they have <b>Cunning>22</b> or <b>one of them has Cunning>7</b>, your opponent chooses one of them to be killed, then the other three are stopped.
1R007	Randomly select two personnel. Each of those personnel who does not have <b>Treachery</b> is killed.
1R010	Unless you have <b>2 Exobiology and 2 Science</b> or <b>3 Security</b> or <b>two Hand Weapons</b>, randomly select a personnel (except a Changeling) to be killed, then all your other personnel are stopped.
1R023	Unless you have <b>Law</b>, randomly select a personnel who has Integrity<4 to be placed in its owner's discard pile. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1R024	Randomly select three personnel. Each of those personnel who has <b>Strength<6</b> is killed.
1R026	Randomly select a personnel to be killed. If you still have <b>nine personnel</b> remaining, randomly select a second personnel to be killed. If you still have <b>ten personnel</b> remaining, randomly select a third personnel to be killed.
1R027	Unless you have <b>2 Astrometrics</b> or <b>3 Engineer</b> or <b>a personnel who has 2 Navigation</b>, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is attributes -2.
1R028	Unless you have <b>Astrometrics, Engineer, and Physics</b> or <b>Shields + unused Range this turn>13</b>, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is attributes -2.
1R030	Unless you have <b>Cunning>32</b>, your personnel who has the highest cost is placed in your opponent's brig, then all your other personnel are stopped.
1R035	Unless you have <b>3 Officer</b> or <b>3 Programming</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1R039	Unless you have <b>2 Diplomacy and 2 Engineer</b> or <b>2 Security and a Hand Weapon</b>, this dilemma is placed on your ship. Damage - At the end of each of your turns, randomly select a personnel aboard this ship to be killed.
1R042	Unless you have <b>Leadership</b> or <b>Officer</b>, all your personnel are stopped. If you have two or more personnel who have Leadership or Officer, randomly select all but one of those personnel to be stopped.
1R046	Randomly select a personnel to be killed. If you still have <b>nine personnel</b> remaining, randomly select a second personnel to be killed. If you still have <b>ten personnel</b> remaining, randomly select a third personnel to be killed.
1R055	Unless you have <b>a Leadership personnel who has Cunning>6</b> or <b>Telepathy</b>, randomly select a personnel to be placed in your opponent's brig, then all your other personnel are stopped.
1R058	The most Cunning Science personnel who does not have Treachery is killed. Unless you have <b>Cunning>24</b> remaining, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1S017	Choose a personnel who has <b>Leadership</b> or <b>Officer</b> to be stopped. If you cannot, randomly select a personnel to be killed.
1S033	Choose a personnel who has <b>Leadership</b> or <b>Security</b> to be stopped. If you cannot, randomly select a personnel to be killed.
1S043	Randomly select a personnel to be stopped. If you still have <b>nine personnel</b> remaining, randomly select a second personnel to be stopped. If you still have <b>ten personnel</b> remaining, randomly select a third personnel to be stopped.
1U011	Unless you have <b>Diplomacy</b> or <b>Telepathy</b>, all your personnel are stopped. If you have two or more personnel who have Diplomacy or Telepathy, randomly select all but one of those personnel to be stopped.
1U020	If you have <b>Integrity>50</b>, lose 5 points. Also, unless you have <b>2 Diplomacy</b> or <b>Intelligence and 2 Treachery</b> or <b>Strength>30</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1U045	Unless you have <b>Anthropology and Leadership</b> or <b>3 Diplomacy</b> or <b>2 Intelligence</b> or <b>four personnel who each have Strength>6</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1U047	Unless <b>at least half your personnel are not [NA]</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1U049	Randomly select a personnel. If that personnel has <b>Acquisition</b> or <b>Treachery</b>, he or she is stopped. Otherwise, he or she is killed.
1U053	Randomly select three personnel. Each of those personnel that does not have <b>Honor</b> or <b>Treachery</b> is stopped.
1U059	If you have <b>Strength>55</b>, lose 5 points. Also, unless you have <b>Anthropology and 2 Honor</b> or <b>two Hand Weapons</b> or <b>Integrity>28</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
2C005	Unless you have <b>2 Security and Transporters</b>, randomly select a personnel to be stopped. Unless you have <b>Biology and 2 Medical</b>, that personnel is killed instead, then all your personnel are stopped.
2C007	Unless you have <b>Engineer and 2 Programming</b> or <b>2 Security and Cunning>36</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
2C013	Unless you have <b>2 Engineer and 2 Science</b> or <b>2 Programming and 3 Security</b>, randomly select a personnel to be killed, then this dilemma returns to its owner's dilemma pile.
2C016	Unless you have <b>Leadership and 2 Security</b> or <b>2 Treachery and Strength>35</b>, randomly select a personnel to be killed, then all your other personnel are stopped.
2C020	Randomly select two personnel. Unless they are <b>the same species</b>, both are stopped.
2C023	Unless you have <b>Astrometrics and 2 Navigation</b> or <b>2 Physics and Science</b>, randomly select a personnel to be placed on the bottom of his or her owner's deck.
2C024	Unless you have <b>Biology, Exobiology, and Security</b> or <b>Telepathy and Cunning>28</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
2C027	Randomly select a Treachery personnel. If that personnel has <b>Cunning>6</b>, he or she is stopped. Otherwise, he or she is killed.
2C028	Randomly select a personnel to be stopped. Unless you have <b>Astrometrics and 2 Diplomacy</b> or <b>Exobiology and 2 Medical</b>, place that personnel on top of his or her owner's deck instead.
2R002	Randomly select three personnel. If the <b>total cost of those personnel is 4 or less</b>, they are killed. Otherwise, randomly select one of those personnel to be killed.
2R026	Randomly select three personnel. If the <b>total cost of those personnel is 4 or less</b>, they are killed. Otherwise, randomly select one of those personnel to be killed.
2U001	Unless you have <b>2 Intelligence and Treachery</b> or <b>2 Leadership and Cunning>32</b>, randomly select a personnel. If that personnel has <b>Strength<7</b>, he or she is killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
2U003	Unless you have <b>2 Leadership and Officer</b> or <b>2 Navigation and Shields>6</b>, randomly select a personnel to be killed, then this dilemma is placed on your ship. Damage - This ship is attributes -2.
2U008	Randomly select a personnel to be stopped. If you still have <b>nine personnel</b> remaining, that personnel is killed instead, then randomly select a second personnel to be killed. If you still have <b>ten personnel</b> remaining, your opponent chooses a third personnel to be killed.
2U010	Unless you have <b>Diplomacy and 2 Programming</b> or <b>Law and Cunning>32</b>, all your personnel are stopped, your opponent may draw a card, and this dilemma is returned to its owner's dilemma pile.
2U012	Unless you have <b>2 Acquisition</b> or <b>choose to discard three cards from hand</b>, your opponent chooses a [NA] personnel to be placed on top of his owner's deck.
2U017	Unless you have <b>Geology</b> or <b>Programming</b>, all your personnel are stopped. If you have two or more personnel who have Geology or Programming, randomly select all but one of those personnel to be stopped.
2U018	Randomly select a personnel. If that personnel has <b>Strength>6</b>, he or she is stopped. Otherwise, he or she is killed.
2U019	Unless you have <b>2 Anthropology and Programming</b> or <b>2 Diplomacy and Cunning>34</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
2U022	Unless you have <b>Intelligence and Transporters</b> or <b>2 Security and Cunning>34</b>, all your personnel are stopped and this dilemma is placed on your ship. Damage - While a Programming personnel is aboard this ship, his or her owners must discard a card from hand to use that programming.
3C003	Unless you have <b>2 Diplomacy and Security</b> or <b>2 Programming and Transporters</b>, randomly select an Engineer to be killed.
3C006	Unless you have <b>2 Anthropology</b> or <b>2 Medical</b> or <b>Telepathy and Integrity>32</b>, your opponent chooses a personnel to be stopped and this dilemma is returned to its owner's dilemma pile.
3C013	Unless you have <b>Astrometrics, Physics, and Cunning>32</b> or <b>Biology and 2 Medical</b>, randomly select a Science personnel to be killed.
3C017	Unless you have <b>Anthropology, Diplomacy, and Cunning>32</b> or <b>2 Exobiology and Leadership</b>, randomly select a personnel to be stopped, then this dilemma returns to its owner's dilemma pile.
3C024	Unless you have <b>2 Anthropology and Integrity>30</b> or <b>Exobiology, Medical, and Cunning>35</b>, randomly select a personnel to be killed, then all your other personnel are stopped.
3C027	Unless you have <b>2 Anthropology and Cunning>32</b> or <b>2 Programming and Science</b>, randomly select a personnel to be stopped, then this dilemma returns to its owner's dilemma pile.
3R005	Unless you have <b>2 Geology</b> or <b>Strength>40</b>, randomly select a personnel to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
3R011	Unless you have <b>2 Honor</b> or <b>2 Treachery</b>, all your personnel are stopped. Each Honor or Treachery personnel that uses his or her skills while facing this dilemma is placed on the bottom of his or her owner's deck.
3R012	Unless you have <b>2 Diplomacy and Integrity>32</b> or <b>Telepathy and Integrity>35</b>, all your personnel are stopped and this dilemma is placed on your ship.  Damage - This ship is attributes -2.
3R022	Unless you have <b>2 Astrometrics and 2 Navigation</b> or <b>2 Engineer, Science, and Shields>8</b>, this dilemma is placed on your ship. Damage - When your personnel aboard this ship are about to face a dilemma, randomly select one of them to be stopped.
3S002	Unless you have <b>Biology, Physics, and Cunning>32</b> or <b>Intelligence and 2 Medical</b>, randomly select a Leadership personnel to be killed.
3S007	Unless you have <b>a personnel who has 2 Medical</b> or <b>a personnel who has 2 Science</b>, your opponent chooses a Medical or Science personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
3S010	Unless you have <b>a personnel who has 2 Anthropology</b> or <b>a personnel who has 2 Security</b>, your opponent chooses a Anthropology or Security personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
3S015	Unless you have <b>a personnel who has 2 Diplomacy</b> or <b>a personnel who has 2 Treachery</b>, your opponent chooses a Diplomacy or Treachery personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
3S016	Unless you have <b>Anthropology and 2 Security</b> or <b>Exobiology, Honor, and Integrity>32</b>, randomly select a Treachery personnel to be killed.
3S021	Unless you have <b>Exobiology and 2 Medical</b> or <b>Honor and Telepathy</b>, randomly select a Security personnel to be killed.
3S030	Unless you have <b>2 Diplomacy</b> or <b>Cunning>35</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
3U023	Randomly select a personnel to be stopped. If you still have <b>nine personnel</b> remaining, that personnel is placed in your opponent's brig instead, then randomly select a second personnel to be placed in your opponent's brig. If you still have <b>ten personnel</b> remaining, randomly select a third personnel to be placed in your opponent's brig.
3U025	Unless you have <b>Intelligence and Cunning>35</b> or <b>a Hand Weapon and Strength>35</b>, randomly select a personnel to be killed, then all your other personnel are stopped.
4C001	Unless you have <b>2 Diplomacy, 2 Treachery, and Cunning>42</b> or <b>2 Engineer, Navigation, and 2 Physics</b>, randomly select a Leadership personnel to be stopped, then this dilemma returns to its owner's dilemma pile.
4C003	For each of your headquarters missions, randomly select a personnel to be stopped. If you still have <b>nine personnel</b> remaining, randomly select another personnel to be stopped. This dilemma returns to its owner's dilemma pile.
4C004	Unless you have <b>Diplomacy, 2 Exobiology, and Strength>42</b> or <b>Intelligence, 2 Leadership, and Cunning>38</b>, randomly select a Security personnel to be stopped, then this dilemma returns to its owner's dilemma pile.
4C005	Unless you have <b>Diplomacy and Cunning>30</b> or <b>Leadership and Strength>30</b>, all of your personnel are stopped and this dilemma returns to its owner's dilemma pile.
4C006	Choose a personnel who has <b>Treachery</b> or <b>Integrity<4</b> to be stopped. If you cannot, randomly select a personnel to be killed.
4C015	Choose a personnel who has <b>Diplomacy</b> or <b>Integrity>6</b> to be stopped. If you cannot, randomly select a personnel to be killed.
4C019	Unless you have <b>the skills needed to complete this mission</b>, this dilemma and all remaining dilemmas you have not yet faced return to their owner's dilemma pile.
4C020	Unless you have <b>Anthropology and Leadership</b> or <b>2 Diplomacy and Integrity>30</b>, randomly stop two personnel for each headquarters mission you command.
4C021	Unless you command <b>an event in your core</b>, your opponent chooses a personnel to be killed for each headquarters mission you command. If you have at least one card in your hand, you may discard your hand to prevent this.
4C026	Unless you have <b>Anthropology, 2 Archaeology, and Integrity>38</b> or <b>2 Honor and 2 Officer</b>, all your Treachery personnel are stopped.
4C031	Randomly select a personnel. Unless <b>that personnel has an attribute>6</b>, he or she is stopped. If that personnel also has an attribute<5, he or she is killed instead of being stopped.
4R007	Randomly select three personnel. They cannot use their skills while facing this dilemma. Unless you have <b>Biology, Geology, and Medical</b> or <b>2 Security and Strength>38</b>, those personnel are returned to their owner's hand.
4R009	Your opponent chooses one of his or her captives. Unless you have <b>the skills on that captive</b>, all your personnel are stopped.
4R011	Your opponent discards any number of event or equipment cards from hand and names a skill (except Acquisition, Intelligence, Law or Telepathy) for each one. Unless you have <b>those skills</b>, all your personnel are stopped.
4R028	For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have <b>2 Anthropology, 2 Programming, and Cunning>38</b> or <b>2 Biology, Exobiology, and 2 Medical</b>, randomly select three personnel to be killed.
4R030	For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have <b>2 Geology, 2 Physics, and Cunning>38</b> or <b>2 Honor, 2 Officer, and Transporters</b>, randomly select three personnel to be killed.
4U008	Unless you have <b>Biology and 2 Medical</b> or <b>2 Honor and Integrity>30</b>, randomly select a personnel to be killed, then place this dilemma in your core. At the start of each of your turns, place the top card of your deck on this dilemma. When you complete a mission, all your cards here are shuffled and placed on top of your deck, then this dilemma is removed from the game.
4U010	Unless you have <b>2 Engineer and Transporters</b> or <b>Geology, Officer, and Strength>35</b>, randomly select two personnel to return to their owner's hand.
4U012	Randomly select three personnel. Unless <b>one of those personnel has an attribute>6</b>, all three are stopped.
4U014	For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have <b>Diplomacy, Intelligence, 2 Programming and Cunning>38</b> or <b>2 Honor, Law, and 2 Officer</b>, randomly select three personnel to be stopped.
4U023	Unless you have <b>Engineer and 2 Physics</b> or <b>2 Programming and Science</b>, all of your personnel are stopped and this dilemma returns to its owner's dilemma pile.
6P001	Randomly select three personnel. If the <b>total cost of those personnel is 4 or less</b>, they are killed. Otherwise, randomly select one of those personnel to be stopped.
6P002	Unless you have an <b>Admiral</b> or a <b>General</b> or <b>3 Leadership</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
6P007	Randomly select a personnel. Unless he or she has <b>at least one skill listed in this mission requirements</b>, stop that personnel, then randomly select another personnel to be stopped.
6P009	Unless there are <b>no damage markers on this ship</b>, all your personnel are stopped.
6P010	Unless you have <b>Engineer and 2 Navigation</b> or <b>Astrometrics, Officer, and Science</b>, all your personnel are stopped and this dilemma is placed on your ship. Damage - At the start of each of your turns, discard a card from hand.
6P011	Unless you have <b>Biology, Medical, and Science</b> or <b>2 Security and a non-Hand Weapon equipment</b>, randomly select a personnel to be killed, all of your other personnel are stopped, and this dilemma returns to its owner's dilemma pile.
6P013	Randomly select a personnel to be stopped. Unless you have <b>Anthropology and 2 Diplomacy</b> or <b>Transporters and 3 Treachery</b>, place that personnel on one of your headquarters missions.
7C007	Unless you have <b>3 Engineer and Leadership</b> or <b>a personnel who has Cunning>6</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
7C009	For each dilemma your opponent consumes with this dilemma, add 10 Cunning to this dilemma's requirments. Unless you have <b>Cunning>15</b>, all your personnel are stopped.
7C012	Randomly select two personnel. Unless they have <b>Integrity>11</b> or <b>Cunning>11</b>, both are stopped.
7R002	Randomly select two personnel. They cannot use their skills while facing this dilemma. Unless you have <b>Anthropology, Diplomacy, and Honor</b> or <b>Law, Security, and Strength>35</b>, all your personnel are stopped.
7R008	Unless you have <b>two personnel who each have Integrity>5, Cunning>5, and Strength>5</b>, or have <b>two personnel who have total attributes>38</b>, all your personnel are stopped and this dilemma is placed on your ship. Damage - You have 1 fewer counters to spend during each of your Play and Draw Cards segments.
7R010	Unless you have <b>Biology and 2 Security</b> or <b>2 Physics and Cunning>35</b>, randomly select a personnel to be stopped and your opponent may move up to two dilemmas from beneath one of your missions to another of your non-headquarters missions.
7R015	Unless you have <b>Astrometrics, Navigation, Physics, and Cunning>34</b> or <b>Exobiology, Leadership, Medical, and Integrity>32</b>, place this dilemma in your core and place your ship on this dilemma. At the end of your next turn, remove this dilemma from the game and place the ship at your headquarters mission.
7U005	Unless you have <b>3 Acquisition</b> or <b>Cunning>35</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
7U014	Unless you have <b>Cunning>40</b> or <b>a personnel who has both Diplomacy and Integrity>7</b>, randomly select three personnel. They cannot use their skills during this mission attempt.
8C008	Choose a personnel who has <b>Acquisition</b> or <b>Anthropology</b> to be stopped. If you cannot, randomly select a personnel to be killed.
8C019	Choose a personnel who has <b>Physics</b> or <b>Science</b> to be stopped. If you cannot, randomly select a personnel to be killed.
8R005	Unless you have <b>Diplomacy, Honor, and Transporters</b> or <b>Law, Security, and Strength>30</b>, randomly select a personnel to be stopped, and if the opponent on your left commands {Cardassia Prime}, that personnel is placed in your opponent's brig instead.
8R011	Unless you have <b>Anthropology, Biology, and Cunning>28</b> or <b>Law, Officer, and Strength>32</b>, lose 5 points.
8R013	Unless you have <b>unused Range>8</b> or <b>Weapons>8</b> all your personnel are stopped.
8U002	Unless you have <b>Anthropology, Diplomacy, and Leadership</b> or <b>Officer, Treachery, and Strength>26</b>, randomly select a personnel to be stopped, and if the opponent on your left commands {Earth}, he or she may download a [Fed] ship and its Commander that he or she does not command.  If he or she does this, that ship and personnel are then placed at a mission where your opponent could play them.
8U003	Unless you have <b>Archaeology, Geology, and Science</b> or <b>Honor, Leadership, and Officer</b>, randomly select a personnel to be stopped, and if the opponent on your left commands {Bajor}, he or she may take a card from his or her discard pile into hand.
8U007	Unless you have <b>Diplomacy, Officer, and Security</b> or <b>Biology, Intelligence, and Treachery</b>, randomly select a personnel to be stopped, and if the opponent on your left commands {Founders' Homeworld}, he or she may download an Infiltrator that he or she does not command and place him or her on your ship or planet mission.
8U009	Unless you have <b>Diplomacy, Leadership, and Physics</b> or <b>Exobiology, Medical, and Cunning>28</b>, randomly select a personnel to be stopped, and if the opponent on your left commands {Unicomplex} and does not command that personnel, he or she may place that personnel there.  Your opponent now commands that personnel.
8U010	Unless you have <b>Exobiology and 2 Medical</b> or <b>Officer, Security, and Treachery</b>, randomly select a personnel to be stopped, and if the opponent on your left command {Qo'noS}, he or she may download up to three [Kli] personnel that he or she does not command and place them at this mission.
8U012	Unless you have <b>Acquisition, Engineer, and Programming</b> or <b>Honor, Officer, and Security</b>, randomly select a personnel to be stopped, and the opponent on your left may discard a card from beneath his or her {Ferenginar} to randomly select an additional personnel to be stopped.
8U015	Unless you have <b>Acquisition, Diplomacy, and Transporters</b> or <b>Law, Officer, and Security</b>, randomly select a personnel to be stopped and the next dilemma revealed during this mission attempt is cost -3.
8U017	Unless you have <b>Diplomacy, Officer, and Telepathy</b> or <b>Intelligence, Treachery, and Cunning>22</b>, randomly select a personnel to be stopped, and if the opponent on your left commands {Romulus}, he or she may examine your hand and discard a card of his or her choice from the revealed cards.
9R001	Randomly select a personnel to be stopped. If your opponent does not command that personnel and you still have <b>nine personnel</b> remaining, place him or her on your opponent's headquarters mission instead, then randomly select a second personnel that your opponent does not command to be placed on that opponent's headquarters mission. That opponent now commands those personnel.
9R002	Randomly select a personnel to be stopped. If that personnel has <b>Astrometrics</b> or <b>Navigation</b>, randomly select an additional personnel to be stopped.
9R003	Randomly select a personnel to be stopped. If that personnel has <b>Officer</b> or <b>Security</b>, randomly select an additional personnel to be stopped.
10C001	Randomly select three personnel. Unless at least one of them is a <b>different species than the others</b>, all three are stopped. Otherwise, choose one of those personnel to be stopped.
10C007	Unless you have <b>Shields + remaining Range>the number of personnel attempting this mission</b>, randomly select a personnel to be killed and all your other personnel are stopped.
10C008	Randomly select a personnel to be stopped. Unless you <b>reveal an Astrometrics personnel from your hand</b> or <b>reveal a Navigation personnel from your hand</b>, that personnel is killed instead.
10C015	Unless you have <b>Astrometrics, Engineer, and Navigation</b> or <b>Leadership, Officer, and Cunning>28</b>, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is Range -2.
10C016	Unless you have <b>Anthropology, Diplomacy, and Honor</b> or <b>Law, Security, and Strength>28</b>, randomly select a Leadership personnel, place him or her in your opponent's brig, and all your other personnel are stopped.
10C017	Unless you have <b>Biology, Exobiology, and Medical</b> or <b>Officer, Security, and Strength>28</b>, randomly select four personnel to be stopped and place this dilemma on your ship at this mission. Damage - At the start of each turn, randomly select a personnel on this ship to be killed.
10C018	Unless you have <b>2 Diplomacy and Leadership</b> or <b>Programming, Science, and Transporters</b>, your opponent places this dilemma on one of your completed missions. At the end of each of your turns, your opponent may place a dilemma from beneath one of your other missions beneath this mission.
10R002	Unless you have <b>Honor</b> or <b>Treachery</b>, all your personnel are stopped. If you have two or more personnel who have Honor or Treachery, randomly select all but one of those personnel to be stopped.
10R003	Randomly select three personnel. Unless they have <b>Strength>17</b> or you have a <b>non-Hand Weapon equipment</b>, for each headquarters mission you command, randomly select one of those personnel to be placed in your opponent's brig.
10R014	Unless you have <b>Medical and Science</b> or <b>3 Security</b>, randomly select a personnel to place on the bottom of his or her owner's deck. If that personnel has Anthropology, randomly select an additional personnel and place that personnel on the bottom of his or her owner's deck.
10R019	Unless you have <b>Astrometrics, Navigation, and Cunning>30</b> or <b>total ship's attributes>21</b>, place this dilemma on your ship and all your personnel are stopped. Damage - At the start of each of your turns, choose an opponent. That opponent may download a Damage card and place it on this ship.
10U005	Randomly select a personnel to be stopped. Unless you <b>reveal a Biology personnel from your hand</b> or <b>reveal a Geology personnel from your hand</b>, that personnel is killed instead.
10U009	Unless you have <b>Engineer, Exobiology, and Medical</b> or <b>Leadership, Security, and Strength>30</b>, randomly select a personnel to be stopped and your opponent may move up to two dilemmas from beneath one of your missions to another of your non-headquarters missions.
10U011	Randomly select a personnel to be stopped. Unless you <b>reveal a Leadership personnel from your hand</b> or <b>reveal an Officer personnel from your hand</b>, that personnel is killed instead.
10U020	Unless you have <b>Astrometrics, Engineer, and Navigation</b> or <b>Biology, Medical, and Science</b>, randomly select a personnel to be killed. You may randomly select two personnel to be stopped to prevent this.
11P002	Choose a personnel who has <b>Honor</b> or <b>Leadership</b> to be stopped. If that personnel has both Honor and Leadership, you may unstop your stopped personnel present and that personnel joins the mission attempt. If you cannot choose a personnel with Honor or Leadership, all your personnel are stopped.
11P003	Unless you choose to <b>discard an event from your hand</b>, your opponent chooses a personnel to be stopped.
11P004	Unless you have <b>Diplomacy, 2 Leadership and Integrity>28</b> or <b>Biology, 2 Exobiology and Cunning>34</b>, randomly select a personnel to be stopped. If your opponent has more events in his or her core than you and he or she does not command that personnel, place that personnel at his or her headquarters mission instead and that opponent now commands that personnel.
11P005	Unless you have <b>Biology, Exobiology, Geology and Integrity>25</b> or <b>Diplomacy, Leadership, Officer and Cunning>32</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
12C001	Randomly select a personnel. Unless that personnel has <b>total attributes>18</b>, your opponent places him or her on a planet mission.
12C005	When your opponent reveals this dilemma, he or she may discard any number of cards from hand. For each card discarded this way, add 5 Integrity to this dilemma's requirements. Unless you have <b>Integrity>30</b>, all your personnel are stopped.
12C007	Unless you have <b>Law and 2 Leadership</b> or <b>2 Officer and 2 Security</b>, randomly select a personnel to be killed and your opponent may destroy up to two events in your core.
12C008	Your opponent discards a card from his or her hand. Unless you <b>discard a card from hand that has an equal or greater cost than that card</b>, all your personnel are stopped.
